length error percent_edge percent_planar mean_edge mean_planar
1000 3.2864114281965557 0.6 0.5 349.128 3721.271
1000 3.0112033718748012 0.6 0.6 349.128 4465.411
1000 2.7790026823435805 0.6 0.7 349.128 5209.684
1000 2.4527786944126317 0.6 0.8 349.128 5954.023
1000 2.1918878399428996 0.6 0.9 349.128 6698.284
1000 1.8855781776036111 0.6 1.0 349.128 7443.05
1000 6.061725103004763 0.7 0.0 407.29 0.0
1000 2.8145834071945743 0.7 0.1 407.29 743.861
1000 2.5575685991552315 0.7 0.2 407.29 1488.205
1000 3.320563277144855 0.7 0.3 407.29 2232.461
1000 3.448526948046244 0.7 0.4 407.29 2976.817
1000 3.0348480595792706 0.7 0.5 407.29 3721.271
1000 3.328336048784337 0.7 0.6 407.29 4465.411
1000 2.415370081938463 0.7 0.7 407.29 5209.684
1000 2.108115601009806 0.7 0.8 407.29 5954.023
1000 1.8791092151694682 0.7 0.9 407.29 6698.284
1000 2.06665750840832 0.7 1.0 407.29 7443.05
1000 5.398050405946848 0.8 0.0 465.635 0.0
1000 3.6611425156279234 0.8 0.1 465.635 743.861
1000 3.6462522236687342 0.8 0.2 465.635 1488.205
1000 3.011173372802348 0.8 0.3 465.635 2232.461
1000 3.734125323257212 0.8 0.4 465.635 2976.817
1000 3.2421070448801887 0.8 0.5 465.635 3721.271
1000 3.2685863355671323 0.8 0.6 465.635 4465.411
1000 2.1715464398726745 0.8 0.7 465.635 5209.684
1000 2.163513455627664 0.8 0.8 465.635 5954.023
1000 2.2507703997401807 0.8 0.9 465.635 6698.284
1000 1.97846089408852 0.8 1.0 465.635 7443.05
1000 6.764872960287168 0.9 0.0 523.859 0.0
1000 2.6005006733136193 0.9 0.1 523.859 743.861
1000 2.190798188108978 0.9 0.2 523.859 1488.205
1000 2.8879315508125827 0.9 0.3 523.859 2232.461
1000 2.975408735583143 0.9 0.4 523.859 2976.817
1000 3.153142628478016 0.9 0.5 523.859 3721.271
1000 2.637482188279265 0.9 0.6 523.859 4465.411
1000 2.718963894624027 0.9 0.7 523.859 5209.684
1000 2.4106839367866053 0.9 0.8 523.859 5954.023
1000 2.0496834955183143 0.9 0.9 523.859 6698.284
1000 2.218792606841469 0.9 1.0 523.859 7443.05
1000 6.997729590640892 1.0 0.0 582.541 0.0
1000 2.7014100413933484 1.0 0.1 582.541 743.861
1000 2.622186815876661 1.0 0.2 582.541 1488.205
1000 3.1192713815345896 1.0 0.3 582.541 2232.461
1000 2.9047387651454284 1.0 0.4 582.541 2976.817
1000 2.8874329058400723 1.0 0.5 582.541 3721.271
1000 2.750548248069229 1.0 0.6 582.541 4465.411
1000 2.5892627738506087 1.0 0.7 582.541 5209.684
1000 2.450378995017948 1.0 0.8 582.541 5954.023
1000 2.220457782850643 1.0 0.9 582.541 6698.284
1000 2.051505099993467 1.0 1.0 582.541 7443.05
